timestamp,close,score,pred_ret_1h,pred_ret_4h,p_long,p_short,regime,pos_prev,pos_new,cost,reason
2025-05-21 15:00:00,108973.35,0.0035501964855939147,0.002568137366324663,0.005841667763888836,0.5976676344871521,0.4023323655128479,0,0,1,0.0010999999999999998,open_long
2025-05-21 21:00:00,108414.64,-0.007697643991559743,-0.008973034098744392,-0.004721733741462231,0.43940046429634094,0.5605995655059814,0,1,0,0.0010999999999999998,close_long
2025-08-11 03:00:00,121728.99,0.00945996968075633,0.009309990331530571,0.009809921495616436,0.6138120889663696,0.38618794083595276,0,0,1,0.0010999999999999998,open_long
2025-08-11 09:00:00,121439.75,-0.010320277465507387,-0.005641118157655001,-0.021238315850496292,0.413555771112442,0.5864441990852356,0,1,0,0.0010999999999999998,close_long
2025-08-13 14:00:00,120890.73,0.019877453707158564,0.015498893335461617,0.030094094574451447,0.5969358086585999,0.40306419134140015,0,0,1,0.0010999999999999998,open_long
2025-08-13 20:00:00,122904.01,-0.010546521190553902,-0.001603814773261547,-0.03141283616423607,0.4348355233669281,0.5651644468307495,0,1,0,0.0010999999999999998,close_long
2025-08-22 15:00:00,116370.75,0.006258336827158927,0.01605021022260189,-0.016589367762207985,0.6368143558502197,0.3631855845451355,0,0,1,0.0010999999999999998,open_long
2025-08-22 21:00:00,117028.27,-0.006737182335928082,0.003222618717700243,-0.02997671812772751,0.3590003550052643,0.6409996747970581,0,1,0,0.0010999999999999998,close_long
2025-10-26 12:00:00,113575.05,0.0061144322156906124,0.01218375377357006,-0.008047318086028099,0.6213146448135376,0.3786853849887848,0,0,1,0.0010999999999999998,open_long
2025-10-26 18:00:00,113575.15,-0.0058857631403952835,0.0025190026499330997,-0.02549688331782818,0.41008850932121277,0.5899114608764648,0,1,0,0.0010999999999999998,close_long
2025-11-26 18:00:00,90145.69,0.012645828071981667,0.020647842437028885,-0.00602553877979517,0.6620941162109375,0.3379059135913849,0,0,1,0.0010999999999999998,open_long
2025-11-27 00:00:00,90485.85,-0.0008641838561743499,0.0027067442424595356,-0.009196349419653416,0.4872899055480957,0.5127100944519043,0,1,0,0.0010999999999999998,close_long
2025-12-24 17:00:00,87322.77,0.0035817962605506183,0.005591528955847025,-0.001107580028474331,0.6168925762176514,0.38310739398002625,0,0,1,0.0010999999999999998,open_long
2025-12-24 23:00:00,87669.45,-0.004217892047017812,-0.005595413967967033,-0.0010036742314696312,0.49375343322753906,0.5062465667724609,0,1,0,0.0010999999999999998,close_long
2025-12-26 03:00:00,88844.87,0.012360094767063855,0.01178751327097416,0.013696118257939816,0.7799856066703796,0.22001443803310394,0,0,1,0.0010999999999999998,open_long
2025-12-26 09:00:00,88811.76,0.0008993116673082112,0.00597000727429986,-0.010932311415672302,0.20064152777194977,0.7993584871292114,0,1,0,0.0010999999999999998,close_long
2025-12-29 02:00:00,89163.25,0.011961434502154589,0.013336721807718277,0.00875243078917265,0.6150646209716797,0.3849353790283203,0,0,1,0.0010999999999999998,open_long
2025-12-29 08:00:00,89555.1,-0.004875283455476165,0.0036143376491963863,-0.024684399366378784,0.44578292965888977,0.5542171001434326,0,1,0,0.0010999999999999998,close_long
2026-01-02 04:00:00,88637.64,0.004004084644839167,0.007079861592501402,-0.003172728233039379,0.5882683396339417,0.41173169016838074,0,0,1,0.0010999999999999998,open_long
2026-01-02 14:00:00,89580.0,-6.0511706396937544e-05,0.005094230640679598,-0.01208824384957552,0.6707527041435242,0.32924726605415344,0,1,0,0.0010999999999999998,close_long
2026-01-12 01:00:00,91412.44,0.0056737483944743865,0.005506174173206091,0.006064754910767078,0.65149986743927,0.3485001027584076,0,0,1,0.0010999999999999998,open_long
2026-01-12 07:00:00,91408.09,-0.0012461251579225063,-0.0007981713861227036,-0.0022913506254553795,0.4254542887210846,0.5745457410812378,0,1,0,0.0010999999999999998,close_long
2026-01-13 14:00:00,92462.03,0.011383122578263282,0.014848386868834496,0.0032975059002637863,0.6862773895263672,0.3137226402759552,0,0,1,0.0010999999999999998,open_long
2026-01-13 20:00:00,94408.7,0.008603177033364771,0.016901280730962753,-0.010759064927697182,0.5400355458259583,0.45996445417404175,0,1,0,0.0010999999999999998,close_long
2026-01-28 15:00:00,89479.66,0.005118364607915282,0.007124571595340967,0.0004372149705886841,0.6174441576004028,0.38255584239959717,0,0,1,0.0010999999999999998,open_long
2026-01-28 21:00:00,89412.17,-0.0013906145934015513,-0.004381213802844286,0.005587450228631496,0.3839157223701477,0.6160842776298523,0,1,0,0.0010999999999999998,close_long
2026-03-01 00:00:00,66791.29,0.005697031319141388,0.00925438478589058,-0.0026034601032733917,0.641151487827301,0.3588484823703766,0,0,1,0.0010999999999999998,open_long
2026-03-01 06:00:00,66926.68,0.003154634963721037,0.010015701875090599,-0.012854521162807941,0.618497908115387,0.38150206208229065,0,1,0,0.0010999999999999998,close_long
2026-03-02 15:00:00,69130.2,0.004993159882724285,0.008142273873090744,-0.002354772761464119,0.5966885089874268,0.40331149101257324,0,0,1,0.0010999999999999998,open_long
2026-03-02 21:00:00,69413.82,-0.006685256818309426,0.001575822476297617,-0.02596110850572586,0.3550057113170624,0.64499431848526,0,1,0,0.0010999999999999998,close_long
2026-03-04 10:00:00,71348.92,0.003987139044329524,0.004137507174164057,0.0036362800747156143,0.6260613203048706,0.37393873929977417,0,0,1,0.0010999999999999998,open_long
2026-03-04 16:00:00,73294.84,-0.01020222366787493,-0.003096157219260931,-0.026783045381307602,0.4543831944465637,0.545616865158081,0,1,0,0.0010999999999999998,close_long
