epoch,train_loss,val_loss,val_regime_acc,val_target_event_long_ap,val_target_event_long_auc,val_target_event_long_brier,val_target_event_short_ap,val_target_event_short_auc,val_target_event_short_brier,val_event_breakout_up_ap,val_event_breakout_up_auc,val_event_breakout_up_brier,val_event_breakdown_down_ap,val_event_breakdown_down_auc,val_event_breakdown_down_brier,val_macro_ap,val_macro_auc,val_macro_brier
1,0.8330736236464709,0.7180908486760896,0.8906747956214494,0.6768429222408264,0.8432580113477356,0.20127791166305542,0.7242444336026173,0.847150158221454,0.15436914563179016,0.45947801671901584,0.957555953191619,0.07927519828081131,0.3775188653543593,0.9581462877750068,0.145014226436615,0.5595210594792046,0.9015276026339538,0.14498412050306797
2,0.6121611702711063,0.5844408972509976,0.9104891229042539,0.7368470232575545,0.8766743295222104,0.16342030465602875,0.7824998982264114,0.8766743969894626,0.15483136475086212,0.48683080235607207,0.961499477734182,0.08336875587701797,0.4259806017788095,0.9687027995363378,0.08108923584222794,0.6080395814047118,0.9208877509455482,0.1206774152815342
3,0.551557767660098,0.5774593034694935,0.9222668698905362,0.758665849308864,0.8883917008096318,0.166047140955925,0.7950260639186879,0.8846434058724613,0.13583587110042572,0.484079303212519,0.9620450809241796,0.07510943710803986,0.4538669443437189,0.971843935508799,0.09586665034294128,0.6229095401959475,0.926731030778768,0.11821477487683296
4,0.5181781421030375,0.5587653877406284,0.9158930303450187,0.7626909163181589,0.8928908475665579,0.14855623245239258,0.7999933891758554,0.8900393883588266,0.1343279778957367,0.517603567406047,0.966190780804594,0.07539557665586472,0.4710980830910311,0.9724009741590268,0.10710914433002472,0.6378464889977731,0.9303804977222513,0.11634723283350468
5,0.49118803094204205,0.546791960453165,0.9318276292088126,0.770688507628257,0.8917583693302151,0.1588059514760971,0.8094498167175629,0.8951014027566905,0.13915038108825684,0.5083915118922947,0.9649885376655357,0.07389651983976364,0.42465675635741285,0.9706493612935707,0.05969914793968201,0.6282966481488819,0.9306244177615031,0.1078880000859499
6,0.4682490393183285,0.5755268037319183,0.9393099625883331,0.7695138993257805,0.894113726310697,0.16436941921710968,0.8122725580783272,0.8938874231881644,0.1342892199754715,0.47898682479473664,0.9620067585029101,0.07266876101493835,0.45376904162982257,0.970469633636587,0.07415416836738586,0.6286355809571667,0.9301193854095895,0.11137039214372635
7,0.4572374520445229,0.5444945538866108,0.9358459193570736,0.7802970085338524,0.8998290865399471,0.1459103226661682,0.8144930482119418,0.8957182478778037,0.1443348377943039,0.495679230084124,0.9636526573651273,0.07472462207078934,0.4582175669747009,0.9716721111852659,0.06240778788924217,0.6371717134511548,0.932718025742036,0.1068443926051259
8,0.43675740948297026,0.5321736469351012,0.942912567548843,0.7890019889044539,0.903899713702298,0.1430855095386505,0.820119387391036,0.9002889799190297,0.12380260229110718,0.502319335193931,0.9645330904281401,0.0787423849105835,0.4588580279141586,0.9732849766412589,0.0706375241279602,0.642574684850895,0.9355016901726817,0.10406700521707535
9,0.424167869010366,0.6308685705579561,0.9451295552168492,0.7894048749421037,0.9063774291825906,0.15170849859714508,0.8122320548110846,0.9010795511244568,0.13212819397449493,0.5044649486125198,0.9639371276460895,0.05939149111509323,0.4770780593182794,0.9718934045218778,0.05066065117716789,0.6457949844209968,0.9358218781187537,0.09847220871597528
10,0.4188858219107291,0.5744791863293484,0.953443258971872,0.7882062601535633,0.90461766500079,0.14920587837696075,0.8187370120714549,0.9033532474365814,0.1285220831632614,0.5104928895763372,0.9642324068151022,0.061566080898046494,0.49254130630522264,0.9740958001100612,0.05888449773192406,0.6524943670266445,0.9365747798406336,0.09954463504254818
11,0.40061850677755545,0.6138658194706358,0.9576001108493833,0.8035111283516797,0.9124127665998374,0.14337854087352753,0.8207804067515788,0.9042206407865797,0.12795865535736084,0.5106961995312376,0.9639651324924018,0.05560825392603874,0.4953128087846004,0.974938529628719,0.056869931519031525,0.6575751358547741,0.9388842673768845,0.09595384541898966
12,0.390406514468946,0.5859966719972676,0.9581543577663849,0.7988798115589035,0.9088941651945684,0.12428802251815796,0.8213955519420436,0.9052722340935276,0.12732957303524017,0.4725025113563923,0.9625786469433939,0.07475388050079346,0.4835041060183365,0.9732843912091517,0.04796430468559265,0.6440704952189189,0.9375073593601604,0.09358394518494606
13,0.38527114767777293,0.5418213975840601,0.9641125121241513,0.7939325205085901,0.9075215164685183,0.15208400785923004,0.8269198273543616,0.9056991062570254,0.12598459422588348,0.4924748115462817,0.9647261764737672,0.0656452476978302,0.4730288662795927,0.9722259299589026,0.06092125549912453,0.6465890064222065,0.9375431822895535,0.10115877632051706
14,0.37190138957554236,0.6542836386581947,0.962172647914646,0.8011876344919897,0.909127008299367,0.13896667957305908,0.8135072182502481,0.9003573487411973,0.1291491836309433,0.5050838498712168,0.9644741328569562,0.04854802414774895,0.4810976387975838,0.9738288430690694,0.054824043065309525,0.6502190853527596,0.9369468332416474,0.09287198260426521
15,0.36137255802190393,0.6606060081514818,0.9582929194956353,0.7898949109727154,0.9060705176929862,0.14538607001304626,0.8166325756936211,0.8993164767211994,0.12479455769062042,0.5058028491148334,0.9649853441304299,0.052462756633758545,0.4893326111112375,0.9741988361609705,0.05452772229909897,0.6504157367231018,0.9361427936763965,0.09429277665913105
16,0.35660016626343694,0.6095059144085851,0.9581543577663849,0.7884253857235628,0.905090060623075,0.150361567735672,0.8213533531608183,0.9030602676528051,0.12282145768404007,0.5016589821002932,0.9614933363205169,0.06210099160671234,0.4919828326474644,0.9743375835704333,0.05596001073718071,0.6508551384080347,0.9359953120417075,0.09781100694090128
17,0.3463626394146367,0.6444575796867239,0.9745046418179298,0.7816509572189365,0.9006164272907127,0.1438755840063095,0.8121500742728586,0.9010440884060827,0.12684981524944305,0.45941613675223764,0.9610668765556201,0.05775447189807892,0.4406881495854811,0.9691822684323299,0.06440582126379013,0.6234763294573784,0.9329774151711863,0.0982214231044054
